Distance	Type	Venue	City	State
0.0	NE-FEST	Northern Current: A Community Music Festival	Saranac Lake	NY
0.0	NE-FEST	Music on the Green	Saranac Lake	NY
0.0	NE-VENUE	RiverTrail Beerworks	Saranac Lake	NY
0.0	NE-VENUE	Bitters & Bones	Saranac Lake	NY
0.0	NE-VENUE	Hotel Saranac, Curio Collection by Hilton	Saranac Lake	NY
0.0	NE-THEATRE	The Garagery	Saranac Lake	NY
0.0	NE-VENUE	Waterhole	Saranac Lake	NY
0.0	NE-FEST	Saranac Lake Porchfest	Saranac Lake	NY
5.3	NE-VENUE	Hex and Hop Brewing	Bloomingdale	NY
8.1	NE-FEST	Songs at Mirror Lake (Lake Placid Summer Series)	Lake Placid	NY
8.1	NE-VENUE	Grand Adirondack Hotel	Lake Placid	NY
8.1	NE-VENUE	Hampton Inn & Suites	Lake Placid	NY
8.1	NE-VENUE	The Pickled Pig	Lake Placid	NY
8.1	NE-VENUE	Big Z's	Lake Placid	NY
11.1	NE-VENUE	The Station	Onchiota	NY
16.1	NE-VENUE	Twisted Raven	Wilmington	NY
17.5	NE-LIBRARY	Keene Valley Library	Keene	NY
18.0	NE-VENUE	Raquette River Brewing	Tupper Lake	NY
18.0	NE-VENUE	P-2's Irish Pub	Tupper Lake	NY
20.8	NE-VENUE	NewVida Preserve	Jay	NY
20.8	NE-THEATRE	Upper Jay Arts Center	Jay	NY
23.1	NE-VENUE	Ray Brook Brewhouse	Essex County	NY
23.8	NE-VENUE	20 Main Tavern	Au Sable Forks	NY
23.8	NE-LIBRARY	Au Sable Forks Free Library	Au Sable Forks	NY
27.1	NE-VENUE	Sugarloaf Mountain Inn, Cabins & Dining Lodge	Owls Head	NY
27.1	NE-VENUE	Trailside Bar & Restaurant	Owls Head	NY
27.1	NE-LIBRARY	Long Lake Public Library	Long Lake	NY
32.5	NE-VENUE	Paradox Brewery	North Hudson	NY
34.3	NE-VENUE	Ausable Brewing Company	Keeseville	NY
34.3	NE-VENUE	Highlands Vineyard	Keeseville	NY
34.3	NE-LIBRARY	Keeseville Free Library	Keeseville	NY
34.5	NE-VENUE	The Old Miners Tavern	Mineville	NY
35.5	NE-FEST	Ausable Chasm Summer Concert Series	Ausable Chasm	NY
36.3	NE-VENUE	Old Orchard Place	Willsboro	NY
36.3	NE-VENUE	Adirondack Lake Center for the Arts	Blue Mountain Lake	NY
36.7	NE-THEATRE	Whallonsburg Grange	Whallonsburg	NY
36.8	NE-VENUE	Titus Mountain	Malone	NY
36.8	NE-VENUE	Cafe Nouveaux	Malone	NY
36.8	NE-VENUE	Mo's Pub & Grill	Malone	NY
36.8	NE-VENUE	The Pines Tap & Table	Malone	NY
36.8	NE-VENUE	Downtown Artist Cellar	Malone	NY
38.4	NE-FEST	Adirondack Folk Festival	Schroon Lake	NY
38.4	NE-VENUE	Sticks & Stones	Schroon Lake	NY
38.4	NE-VENUE	The Lodge at Schroon Lake	Schroon Lake	NY
38.5	NE-VENUE	Indian Lake Restaurant, Tavern and Liquor Store	Indian Lake	NY
